iter	RMSE
0	1.145629156
1	1.132774843
2	1.120179766
3	1.107872033
4	1.095928046
5	1.084281502
6	1.072895036
7	1.061753427
8	1.050907616
9	1.040377494
10	1.029884109
11	1.019756709
12	1.009815403
13	1.000052758
14	0.9906418975
15	0.9813975452
16	0.9721922696
17	0.9633963333
18	0.954769824
19	0.9462687742
20	0.9378173598
21	0.9298181124
22	0.9219765207
23	0.9143523293
24	0.9066872251
25	0.8992719451
26	0.8922499854
27	0.885387297
28	0.8785392275
29	0.87197561
30	0.8654246547
31	0.8589370641
32	0.8528709606
33	0.8467817799
34	0.8407210107
35	0.8349272589
36	0.8292191624
37	0.8237557597
38	0.818358447
39	0.8131249759
40	0.8079175979
41	0.8026500817
42	0.7977915223
43	0.7930370553
44	0.7883436863
45	0.7838300813
46	0.7793168878
47	0.7749434296
48	0.7706921247
49	0.7665724751
50	0.7623411283
51	0.7582928075
52	0.7544979101
53	0.7506593623
54	0.7470702565
55	0.7433136314
56	0.7399331979
57	0.7363358928
58	0.7326344154
59	0.7292156094
60	0.7258092431
61	0.7221636276
62	0.7190647578
63	0.7160594428
64	0.7131473931
65	0.7101647992
66	0.7074497715
67	0.7047109111
68	0.7021086145
69	0.6993795856
70	0.6968255166
71	0.6942019976
72	0.691719845
73	0.6892623549
74	0.6867666258
75	0.6841524124
76	0.6816806334
77	0.6796125857
78	0.6771716167
79	0.6747633415
80	0.6727079254
81	0.6704567705
82	0.6683138771
83	0.666352376
84	0.6642602293
85	0.6621937141
86	0.6603043023
87	0.6585123159
88	0.6567100557
89	0.6550301604
90	0.6533329744
91	0.6517057714
92	0.6501458993
93	0.6486579103
94	0.646956791
95	0.6452821576
96	0.6438880733
97	0.6424247115
98	0.6408445629
99	0.6395508986
100	0.6379501078
101	0.6366077693
102	0.6353681317
103	0.6341506125
104	0.6330199793
105	0.6318994662
106	0.6305896153
107	0.629295692
108	0.6280008936
109	0.6269864091
110	0.625932655
111	0.6249199573
112	0.6239653668
113	0.6229280631
114	0.6218404226
115	0.620838908
116	0.6198348946
117	0.61890533
118	0.617859142
119	0.6169939067
120	0.6161336999
121	0.6153051568
122	0.6145574003
123	0.6137193938
124	0.6129670248
125	0.6121749062
126	0.6114303774
127	0.6106810235
128	0.6099985691
129	0.6093215953
130	0.6084844123
131	0.6077965055
132	0.6070849958
133	0.6061660205
134	0.6055330627
135	0.6049260332
136	0.6043414967
137	0.6037141775
138	0.6029378292
139	0.6021423433
140	0.6013908741
141	0.6007509938
142	0.6001834086
143	0.5995890299
144	0.5990665701
145	0.5985461682
146	0.5979374814
147	0.5974240526
148	0.5968301189
149	0.5963904341
150	0.5958821411
151	0.5952828607
152	0.5948403774
153	0.5944164576
154	0.593970562
155	0.5933139158
156	0.5928138652
157	0.5923520492
158	0.5917926924
159	0.5913887773
160	0.5908317599
161	0.5903874337
162	0.5900317808
163	0.5896502056
164	0.5892435316
165	0.5888833004
166	0.5885160082
167	0.588171847
168	0.5878513056
169	0.5874731825
170	0.5871692204
171	0.5866986862
172	0.5863925548
173	0.5858740786
174	0.5855724025
175	0.5852931851
176	0.5848594844
177	0.5845246852
178	0.5842267944
179	0.5839176045
180	0.5835974323
181	0.5832761294
182	0.5828769801
183	0.5825622584
184	0.5822587511
185	0.5819954743
186	0.5817878929
187	0.5815090659
188	0.5811934278
189	0.5807884034
190	0.5805527299
191	0.5802930838
192	0.5800108148
193	0.5797919335
194	0.5794474079
195	0.5792534162
196	0.5789148767
197	0.578658428
198	0.5784522688
199	0.5780355177
200	0.5777412143
201	0.5775567274
202	0.5773299042
203	0.5771321381
204	0.5768350836
205	0.5766141237
206	0.5764329679
207	0.5762645741
208	0.5760968975
209	0.5759053383
210	0.5756458682
211	0.5754608798
212	0.5752810607
213	0.5750859439
214	0.5749423218
215	0.5747986586
216	0.5745868625
217	0.5741742668
218	0.5739721544
219	0.5737091688
220	0.5735355398
221	0.5733759771
222	0.5731649161
223	0.5730261651
224	0.5728702442
225	0.5726001398
226	0.572355941
227	0.5722161619
228	0.5720485704
229	0.5719282423
230	0.5718000822
231	0.5716368626
232	0.5713356187
233	0.5711526006
234	0.5709959319
235	0.5708210152
236	0.5706848639
237	0.570547316
238	0.5704392553
239	0.5702820896
240	0.5700960339
241	0.5699191246
242	0.5696487099
243	0.5695012261
244	0.5691996353
245	0.5689474105
246	0.5687664618
247	0.5684836529
248	0.5683413221
249	0.5681736718
250	0.5680262984
251	0.5677937632
252	0.5676218782
253	0.5674900586
254	0.5673437738
255	0.5672378121
256	0.5670219685
257	0.5668917783
258	0.5667791884
259	0.5666453272
260	0.5665621998
261	0.5664516625
262	0.5663197479
263	0.5660546389
264	0.5658936922
265	0.5657748909
266	0.5656518746
267	0.5655187001
268	0.565350415
269	0.5652335214
270	0.5650480424
271	0.5648349603
272	0.5647297652
273	0.5645143823
274	0.5642890171
275	0.5641319653
276	0.5639976677
277	0.5639071974
278	0.5638005278
279	0.5637106453
280	0.5635871668
281	0.5633990343
282	0.5632834789
283	0.5631912978
284	0.5630779086
285	0.5629245767
286	0.562795502
287	0.5626825461
288	0.5625787791
289	0.5624844638
290	0.5623981139
291	0.562284339
292	0.5621830132
293	0.5620270912
294	0.5619180806
295	0.5618072259
296	0.5615868544
297	0.5615220333
298	0.5613501964
299	0.5612074098
300	0.5611205794
301	0.5610313685
302	0.5608620362
303	0.5607087444
304	0.560547761
305	0.5604013205
306	0.5602984109
307	0.5601911717
308	0.560097203
309	0.5600198928
310	0.5599258468
311	0.5597708456
312	0.5596336257
313	0.5595126731
314	0.5593359068
315	0.559264738
316	0.5591975059
317	0.5590631637
318	0.5589733829
319	0.5589001641
320	0.5587546989
321	0.5586362916
322	0.5584739844
323	0.5583697105
324	0.5581504608
325	0.5579591869
326	0.5577867815
327	0.5576443823
328	0.5575580716
329	0.5575027324
330	0.5573743058
331	0.5572748442
332	0.5571956531
333	0.5570906862
334	0.5569999536
335	0.5568990914
